Hawthorne Julian 18461934,The History of the United States from 1492 to 1910 Volume 1From Discovery of America October 12 1492 to Battle of Lexington April 19 1775,http://www.gutenberg.org/etext/7131
Drake Samuel Adams 18331905,The Campaign of Trenton 177677,http://www.gutenberg.org/etext/24741
Howells William Dean 18371920,Stories Of Ohio,http://www.gutenberg.org/etext/21381
Heywood Robert 17861868,A Journey to America in 1834,http://www.gutenberg.org/etext/24626
Stoddard Charles Warren 18431909,Over the Rocky Mountains to Alaska,http://www.gutenberg.org/etext/22871
Davis Thomas Osborne 18141845,Thomas Davis Selections from his Prose and Poetry,http://www.gutenberg.org/etext/21210
Paine Ralph Delahaye 18711925,The Fight for a Free Sea A Chronicle of the War of 1812The Chronicles of America Series Volume 17,http://www.gutenberg.org/etext/18941
Pepys Samuel 16331703,Diary of Samuel Pepys  Volume 18 SeptemberOctober 1662,http://www.gutenberg.org/etext/4136
Thompson Holland 18731940,The Age of Invention A Chronicle of Mechanical Conquest,http://www.gutenberg.org/etext/2900
Altsheler Joseph A 18621919 Joseph Alexander,The Sword of Antietam A Story of the Nations Crisis,http://www.gutenberg.org/etext/7862
Shepherd William R 18711934 William Robert,The Hispanic Nations of the New World A Chronicle of Our Southern Neighbors,http://www.gutenberg.org/etext/3042
Bishop Austin,Tom of the Raiders,http://www.gutenberg.org/etext/7504
Castlemon Harry 18421915,Frank on the Lower Mississippi,http://www.gutenberg.org/etext/6958
Altsheler Joseph A 18621919 Joseph Alexander,Before the DawnA Story of the Fall of Richmond,http://www.gutenberg.org/etext/21321
Chambers Robert W 18651933 Robert William,Ailsa Paige A Novel,http://www.gutenberg.org/etext/11904
Churchill Winston 18711947,The Crisis  Volume 06,http://www.gutenberg.org/etext/5393
Churchill Winston 18711947,The Crisis  Complete,http://www.gutenberg.org/etext/5396
De Forest John William 18261906,The Brigade Commander,http://www.gutenberg.org/etext/23182
Madison Lucy Foster 18651932,A Daughter of the Union,http://www.gutenberg.org/etext/32993
McElroy John 18461929,Si Klegg Book 1His Transformation from a Raw Recruit to a Veteran,http://www.gutenberg.org/etext/31771
Dunn Byron A 18421926 Byron Archibald,Raiding with Morgan,http://www.gutenberg.org/etext/29786
Dixon Thomas 18641946,A Man of the People A Drama of Abraham Lincoln,http://www.gutenberg.org/etext/25814
Optic Oliver 18221897,The Soldier Boy or Tom Somers in the ArmyA Story of the Great Rebellion,http://www.gutenberg.org/etext/14595
Mitchell S Weir 18291914 Silas Weir,Westways A Village Chronicle,http://www.gutenberg.org/etext/14153
Unknown,Songs and Ballads of the Southern People18611865,http://www.gutenberg.org/etext/35479
Allen Walter 18401907,Ulysses S Grant,http://www.gutenberg.org/etext/28386
Addeman Joshua M 18401930 Joshua Melancthon,Reminiscences of two years with the colored troopsPersonal Narratives of events in the War of the Rebellionbeing papers read before the Rhode Island Soldiers andSailors Historical Society No 7 Second Series,http://www.gutenberg.org/etext/26747
Blakeslee B F Bernard F,History of the Sixteenth Connecticut Volunteers,http://www.gutenberg.org/etext/31867
Beatty John 18281914,The CitizenSoldieror Memoirs of a Volunteer,http://www.gutenberg.org/etext/20460
Cox Jacob D 18281900 Jacob Dolson,Military Reminiscences of the Civil War Volume 1 April 1861November 1863,http://www.gutenberg.org/etext/6961
Carnahan James R 18401905 James Richards,Personal Recollections of ChickamaugaA Paper Read before the Ohio Commandery of the MilitaryOrder of the Loyal Legion of the United States,http://www.gutenberg.org/etext/35581
Clement Edward Henry 18431920,The BullRun RoutScenes Attending the First Clash of Volunteers in the Civil War,http://www.gutenberg.org/etext/32951
Cooper A 18301919 Alonzo,In and Out of Rebel Prisons,http://www.gutenberg.org/etext/31895
Duke Basil Wilson 18381916,History of Morgans Cavalry,http://www.gutenberg.org/etext/31232
Duffy Edward 1830,History of the 159th Regiment NYSV,http://www.gutenberg.org/etext/24195
Henderson G F R 18541903 George Francis Robert,Stonewall Jackson and the American Civil War,http://www.gutenberg.org/etext/12233
Grant Ulysses S 18221885 Ulysses Simpson,Personal Memoirs of U S Grant  Volume 1,http://www.gutenberg.org/etext/1067
De Gurowski Adam G count 18051866,Diary from November 12 1862 to October 18 1863,http://www.gutenberg.org/etext/29264
Kelly Walden,A Historic Sketch Lest We Forget Company quotEquot 26th Ohio Infantry in the War for the Union 186165,http://www.gutenberg.org/etext/32015
Jones J B 18101866 John Beauchamp,A Rebel War Clerks Diary at the Confederate States Capital,http://www.gutenberg.org/etext/31087
Kidd James Harvey 18401913,Personal Recollections of a CavalrymanWith Custers Michigan Cavalry Brigade in the Civil War,http://www.gutenberg.org/etext/29608
Lincoln Abraham 18091865,The Papers And Writings Of Abraham Lincoln  Volume 2 18431858,http://www.gutenberg.org/etext/2654
Lincoln Abraham 18091865,Lincolns Gettysburg AddressGiven November 19 1863 on the battlefield near Gettysburg Pennsylvania USA,http://www.gutenberg.org/etext/4
Leech Samuel Vanderlip 18371916,The Raid of John Brown at Harpers Ferry as I Saw It,http://www.gutenberg.org/etext/35427
Melville Herman 18191891,BattlePieces and Aspects of the War,http://www.gutenberg.org/etext/12384
McElroy John 18461929,Andersonville A Story of Rebel Military Prisons  Volume 4,http://www.gutenberg.org/etext/4260
Meacham Henry H,The Empty Sleeveor The Life and Hardships of Henry H Meacham in the Union Army,http://www.gutenberg.org/etext/35578
Pittenger William 18401904,Capturing a LocomotiveA History of Secret Service in the Late War,http://www.gutenberg.org/etext/36752
Rains George Washington 18171898,History of the Confederate Powder Works,http://www.gutenberg.org/etext/24537
Preston Margaret Junkin 18201897,BeechenbrookA Rhyme of the War,http://www.gutenberg.org/etext/16480
Richards Caroline Cowles,Village Life in America 18521872Including the period of the American Civil War as told inthe diary of a schoolgirl,http://www.gutenberg.org/etext/33756
Rochelle James Henry 18261889,Life of Rear Admiral John Randolph Tucker,http://www.gutenberg.org/etext/27101
Semmes Raphael 18091877,The Cruise of the Alabama and the SumterFrom the Private Journals and Other Papers of Commander R Semmes CSN and Other Officers,http://www.gutenberg.org/etext/13163
Scott Emma Look Mrs 1858,How the Flag Became Old Glory,http://www.gutenberg.org/etext/27853
Sherman William T 18201891 William Tecumseh,Memoirs of General W T Sherman Volume II Part 4,http://www.gutenberg.org/etext/5853
Stephenson Nathaniel W 18671935 Nathaniel Wright,Abraham Lincoln and the Union A Chronicle of the Embattled North,http://www.gutenberg.org/etext/2836
Spear Ellis 18341917,The Story of the Raising and Organization of a Regiment of Volunteers in 1862Military Order of the Loyal Legion of the United States Commandery of the District of Columbia War Papers 46,http://www.gutenberg.org/etext/32604
Unknown,Reply of the Philadelphia Brigade Association to the Foolish and Absurd Narrative of Lieutenant Frank A Haskell,http://www.gutenberg.org/etext/33585
Stone James Madison,Personal Recollections of the Civil WarBy One Who Took Part in It as a Private Soldier in the21st Volunteer Regiment of Infantry from Massachusetts,http://www.gutenberg.org/etext/33179
Ulmer George T,Adventures and Reminiscences of a Volunteer Or A Drummer Boy from Maine,http://www.gutenberg.org/etext/32246
Stillwell Leander 18431934,The Story of a Common Soldier of Army Life in the Civil War 18611865,http://www.gutenberg.org/etext/26561
Altsheler Joseph A 18621919 Joseph Alexander,The Shades of the WildernessA Story of Lees Great Stand,http://www.gutenberg.org/etext/12532
Altsheler Joseph A 18621919 Joseph Alexander,The Guns of Shiloh A Story of the Great Western Campaign,http://www.gutenberg.org/etext/5207
Cable George Washington 18441925,Kincaids Battery,http://www.gutenberg.org/etext/11719
Churchill Winston 18711947,The Crisis  Volume 07,http://www.gutenberg.org/etext/5394
Churchill Winston 18711947,The Crisis  Volume 01,http://www.gutenberg.org/etext/5388
Harris Joel Chandler 18481908,A Little Union Scout,http://www.gutenberg.org/etext/23871
Henty G A 18321902 George Alfred,With Lee in Virginia A Story of the American Civil War,http://www.gutenberg.org/etext/2805
Johnston Mary 18701936,The Long Roll,http://www.gutenberg.org/etext/22066
Optic Oliver 18221897,Within The Enemys Lines,http://www.gutenberg.org/etext/18264
Optic Oliver 18221897,The Young Lieutenantor The Adventures of an Army Officer,http://www.gutenberg.org/etext/25886
Peple Edward 18691924,The Littlest Rebel,http://www.gutenberg.org/etext/15414
Parrish Randall 18581923,Love under Fire,http://www.gutenberg.org/etext/12015
Barry Joseph,The Strange Story of Harpers FerryWith Legends of the Surrounding Country,http://www.gutenberg.org/etext/35459
Batten John M 18371916 John Mullin,Reminiscences of Two Years in the United States Navy,http://www.gutenberg.org/etext/25764
Blackwell Sarah Ellen 1828,A Military GeniusLife of Anna Ella Carroll of Maryland,http://www.gutenberg.org/etext/21909
Cutter O P Orlando Phelps,Our Battery Or The Journal of Company B 1st OVA,http://www.gutenberg.org/etext/31887
Doubleday Abner 18191893,Chancellorsville and GettysburgCampaigns of the Civil War  VI,http://www.gutenberg.org/etext/20762
Gildersleeve Basil L 18311924 Basil Lanneau,The Creed of the Old South 18651915,http://www.gutenberg.org/etext/24281
Nicolay John G 18321901 John George,Abraham Lincoln a History  Volume 02,http://www.gutenberg.org/etext/11708
Hill Frederick Trevor 18661930,On the Trail of Grant and Lee,http://www.gutenberg.org/etext/4098
Kniffin G C,The Third Day at Stones River,http://www.gutenberg.org/etext/32039
Huse Caleb 18311905,The Supplies for the Confederate Armyhow they were obtained in Europe and how paid for,http://www.gutenberg.org/etext/24469
Lincoln Abraham 18091865,Speeches and Letters of Abraham Lincoln 18321865,http://www.gutenberg.org/etext/14721
Lincoln Abraham 18091865,Lincolns Inaugurals Addresses and Letters Selections,http://www.gutenberg.org/etext/14274
Lincoln Abraham 18091865,The Papers And Writings Of Abraham Lincoln  Volume 4 The LincolnDouglas Debates,http://www.gutenberg.org/etext/2656
Ludlow William 18431901,The Battle of Allatoona October 5th 1864,http://www.gutenberg.org/etext/32247
Maxwell James Robert 1844,A History of Lumsdens Battery CSA,http://www.gutenberg.org/etext/26455
Lincoln Abraham 18091865,The Papers And Writings Of Abraham Lincoln  Volume 7 18631865,http://www.gutenberg.org/etext/2659
McElroy John 18461929,Andersonville A Story of Rebel Military Prisons  Volume 1,http://www.gutenberg.org/etext/4257
McElroy John 18461929,Andersonville A Story of Rebel Military Prisons,http://www.gutenberg.org/etext/3072
Reichardt Theodore,Diary of Battery A First Regiment Rhode Island Light Artillery,http://www.gutenberg.org/etext/32111
Pittenger William 18401904,Daring and SufferingA History of the Great Railroad Adventure,http://www.gutenberg.org/etext/20509
Shellenberger John K 1843,The Battle of Spring Hill Tennesseeread after the stated meeting held February 2d 1907,http://www.gutenberg.org/etext/24740
Schofield John McAllister 18311906,FortySix Years in the Army,http://www.gutenberg.org/etext/21417
Sherman William T 18201891 William Tecumseh,Memoirs of General William T Sherman  Complete,http://www.gutenberg.org/etext/4361
Whitman Walt 18191892,The Wound DresserA Series of Letters Written from the Hospitals in Washingtonduring the War of the Rebellion,http://www.gutenberg.org/etext/35725
Smith Henry Bascom 1916,Between the LinesSecret Service Stories Told Fifty Years After,http://www.gutenberg.org/etext/24541
Sprague Homer B 18291918 Homer Baxter,Lights and Shadows in Confederate PrisonsA Personal Experience 18645,http://www.gutenberg.org/etext/24385
Unknown,War Poetry of the South,http://www.gutenberg.org/etext/8648
Wood William Charles Henry 18641947,Captains of the Civil War A Chronicle of the Blue and the Gray,http://www.gutenberg.org/etext/2649
Bower B M 18741940,Rowdy of the Cross L,http://www.gutenberg.org/etext/1907
Wormser G Ranger,The Scarecrow and Other Stories,http://www.gutenberg.org/etext/40027
Bower B M 18741940,The Quirt,http://www.gutenberg.org/etext/19166
Chambers Robert W 18651933 Robert William,The Hidden Children,http://www.gutenberg.org/etext/4984
Grey Zane 18721939,Betty Zane,http://www.gutenberg.org/etext/1261
Brand Max 18921944,The Seventh Man,http://www.gutenberg.org/etext/1897
Grey Zane 18721939,The Rainbow Trail,http://www.gutenberg.org/etext/5067
