,first,second,preferred,
200,jacquesanatolefranois thibault,jacquesanatolefrancois thibault,anatole france,
201,jacquesanatolefranois thibault,jacquesanatolefrancois thibault,anatole france,
202,jacquesanatolefranois thibault,jacquesanatolefrancois thibault,anatole france,
203,jacquesanatolefranois thibault,jacquesanatolefrancois thibault,anatole france,
204,jacquesanatolefrancois thibault,jacquesanatolefranois thibault,anatole france,
205,jacquesanatolefrancois thibault,jacquesanatolefranois thibault,anatole france,
206,jacquesanatolefrancois thibault,jacquesanatolefranois thibault,anatole france,
207,jean lang,jeanie lang,jeanie lang,
208,jeanette augustus marks,jeannette augustus marks,jeannette augustus marks,
209,geoffrey chaucer,jeffrey chaucer,geoffrey chaucer,
210,geoffrey chaucer,jeffrey chaucer,geoffrey chaucer,
211,geoffrey chaucer,jeffrey chaucer,geoffrey chaucer,
212,geoffrey chaucer,jeffrey chaucer,geoffrey chaucer,
213,jeffery farnol,jeffrey farnol,jeffery farnol,
214,john eleazer remsberg,john eleazer remsburg,,
215,j john finnemore,john finnemore,,
216,john fisk,john fiske,,
217,john flecher,john fletcher,,
218,john t frost,john frost,,
219,john a white,john h white,,
220,j john kincaid,john kincaid,,
221,john lock,john locke,,
222,j john marshall,john marshall,,
223,john mclean,john mlean,,
224,j john ruskin,john ruskin,,
225,j john ruskin,john ruskin,,
226,j john ruskin,john ruskin,,
227,j john ruskin,john ruskin,,
228,j john ruskin,john ruskin,,
229,j john ruskin,john ruskin,,
230,j john ruskin,john ruskin,,
231,j john ruskin,john ruskin,,
232,jean webster,john webster,,
233,j jonathan swift,jonathan swift,,
234,j jonathan swift,jonathan swift,,
235,j jonathan swift,jonathan swift,,
236,j jonathan swift,jonathan swift,,
237,george santayana,jorge santayana,,
238,jariskarl huysmans,joris karl huysmans,,
239,jzef konrad teodor korzeniowski,jozef konrad teodor korzeniowski,,
240,jzef konrad teodor korzeniowski,jozef konrad teodor korzeniowski,,
241,jzef konrad teodor korzeniowski,jozef konrad teodor korzeniowski,,
242,jules gabril verne,jules gabriel verne,,
243,jules gabril verne,jules gabriel verne,,
244,jules gabril verne,jules gabriel verne,,
245,jules gabril verne,jules gabriel verne,,
246,jules gabriel verne,jules gabril verne,,
247,jules gabriel verne,jules gabril verne,,
248,jules gabriel verne,jules gabril verne,,
249,jules gabriel verne,jules gabril verne,,
250,jozef konrad teodor korzeniowski,jzef konrad teodor korzeniowski,,
251,jozef konrad teodor korzeniowski,jzef konrad teodor korzeniowski,,
252,carl ewald,karl ewald,,
253,k kate greenaway,kate greenaway,,
254,klara muller mundt,klara mller mundt,,
255,klara muller mundt,klara mller mundt,,
256,klara mller mundt,klara muller mundt,,
257,klara mller mundt,klara muller mundt,,
258,lewis goldsmith,l lewis goldsmith,,
259,luise mhlbach,l luise mhlbach,,
260,l luise mhlbach,l luise muhlbach,,
261,l t mead,l t meade,,
262,winifred faraday,l winifred faraday,,
263,laurence housman,lawrence housman,,
264,lon paul blout,leon paul blouet,,
265,l lewis goldsmith,lewis goldsmith,,
