,author,contribution
7498,joseph_crosby_lincoln,0.0554161155941
11559,victor_marie_hug,0.0551835935848
9903,r_richard_steele,0.0551833663775
2402,dante_alighieri,0.05508597346
11256,thomas_henry_huxley,0.0550098096104
1889,charles_lamb,0.0549440972982
5243,harriet_martineau,0.0542432614603
10532,sabine_baringgould,0.0541948564197
4970,grant_allen,0.0541941352833
7452,jonathan_swift,0.0541660010883
4587,george_grote,0.0540931465629
8564,marie_corelli,0.0539988357624
11494,united_states_president,0.0539325208567
3893,frances_hodgson_burnett,0.053861296297
8688,mary_augusta_arnold_ward,0.053841598409
3943,francis_bret_harte,0.0535751928713
1929,charles_neville_buck,0.0530919525087
5993,isaac_disraeli,0.0530181002468
2398,daniel_webster,0.0530144451723
3586,ethel_may_dell,0.0529596882049
4999,gustav_Freytag,0.0528981150176
10882,stanley_j_stanley_john_weyman,0.0528585019129
598,amanda_m_douglas,0.0527817058342
12494,william_taylor_adams,0.0525978951014
5827,horatio_alger,0.0525804001368
7872,l_t_meade,0.0524795200807
6036,israel_zangwill,0.0523894175551
4108,frank_richard_stockton,0.0523688898665
4393,g_w_george_washington_cable,0.0519260430164
11178,thomas_bulfinch,0.0518938882394
8949,may_sinclair,0.0516643693183
5621,henry_rowe_schoolcraft,0.0515709871043
8487,margaret_oliphant_wilson_oliphant,0.0515646351775
6504,james_j_james_joseph_walsh,0.0515197963042
11210,thomas_dixon,0.0514164663604
10634,samuel_rutherford_crockett,0.0512790256808
3993,francis_maitland_balfour,0.0512022493592
7528,joseph_hocking,0.0510962917132
12321,william_james,0.0510228741088
2460,david_olivieri,0.0509251749554
6318,jacob_abbott,0.0504239654564
8340,m_e_mary_elizabeth_braddon,0.0503994567001
7890,lady_rhone,0.0501910483038
6918,john_burroughs,0.0501778702785
5003,gustave_aimard,0.0499975960773
2381,daniel_de,0.0499523423036
6985,john_dewey,0.0499127687132
543,alice_muriel_williamson,0.049843154362
4443,geoffrey_crayon,0.0497614980221
5853,howard_pyle,0.0495423516097
1410,burton_e_stevenson,0.0494618214278
6794,jlio_verne,0.049432975975
9665,percy_f_percy_francis_westerman,0.0493509442491
11319,thomas_paine,0.0491559114498
8784,mary_jane_holmes,0.0491022608833
4694,george_rawlinson,0.0486983652731
7605,joshua_rose,0.0486716338364
9940,ralph_bonehill,0.0484992921347
742,anna_katharine_green,0.048118581551
771,anne_douglas_sedgwick,0.0479708177556
2257,copyright_office_library_of_congress,0.0479588054027
12590,work_projects_administration,0.0475958861411
10449,rupert_hughes,0.0473734501617
846,anton_chekhov,0.0473488623767
1624,carolyn_wells,0.0473063449696
8919,max_duncker,0.0472782502889
12075,william_blake,0.0468678743304
7330,john_s_c_john_stevens_cabot_abbott,0.0467875022058
8543,marian_evans,0.046518676416
36,a_conan_doyle,0.046442828681
8072,library_of_congress_register_of_copyrights_library_of_congress_copyright_office,0.0464165911733
6166,j_holland_john_holland_rose,0.0464009039887
1336,bjornstjerne_bjornson,0.0462365639365
9152,mrs_charles_rohlfs,0.0461843358856
9933,rafael_sabatini,0.0461337279217
193,adam_smith,0.0461238592206
831,anthony_hope,0.0460709594262
991,arthur_m_winfield,0.0459285893353
9519,p_austin_nuttall,0.0458415985623
9175,mrs_henry_wood,0.0457345641511
5485,henry_charles_lea,0.0456306908854
11098,theodor_mommsen,0.045577534248
3804,flavius_josephus,0.0455432555764
8073,library_of_congress_register_of_copyrights_united_states_copyright_office,0.0455251777755
7662,julian_starr,0.045241889745
6455,james_george_frazer,0.0452202754126
7061,john_graham,0.0451267055055
6924,john_c_john_conroy_hutcheson,0.0450712372804
11007,t_babington_thomas_babington_macaulay,0.0449884844181
49,a_e_w_alfred_edward_woodley_mason,0.0447058780096
11192,thomas_clarkson,0.0446865061148
9594,paul_de_kock,0.0445361146172
8968,meredith_nicholson,0.044491977123
5208,harold_bell_wright,0.044208372978
5096,h_irving_harrie_irving_hancock,0.0441203844685
9206,mrs_molesworth,0.0441202264112
9521,p_b_percy_bysshe_shelley,0.0441147339209
5041,h_c_hans_christian_andersen,0.0440726906856
6315,jackson_gregory,0.0440282469555
8783,mary_jane_hawes_holmes,0.0440095764398
6828,johann_paul_friedrich_richter,0.0440059213653
7657,julian_hawthorne,0.0439813237018
3137,egerton_ryerson,0.0438713849882
9312,nell_speed,0.0438712862024
5724,herbert_strang,0.0438111355305
9974,raphael_holinshed,0.0437439611884
10255,robert_hugh_benson,0.0436741295084
1139,babington_white,0.0436669576595
10037,rex_ellingwood_beach,0.0435203595366
8797,mary_louisa_stewart_molesworth,0.0433317379355
5537,henry_havelock_ellis,0.0431532122428
676,andrew_dickson_white,0.0431482531958
8198,louis_tracy,0.0431007569846
7468,joseph_alexander_altsheler,0.0429571224355
10747,sewell_ford,0.0429443593105
155,abe_lincoln,0.0428541283634
11838,walter_besant,0.0428444473553
5651,henry_thomas_buckle,0.0427756726833
9081,molesworth_mrs_mary_louisa_molesworth,0.0426562307759
2838,edith_nesbit,0.0426037458819
5232,harrie_irving_hancock,0.042434347997
6575,james_otis_kaler,0.0423242018331
563,allen_chapman,0.0421733559209
8169,louis_de_rouvroy,0.0420557415508
3065,edward_stratemeyer,0.0420281309205
12082,william_brett_fishburne,0.0420106952273
9005,michel_de_montaigne,0.0419871644504
8651,martin_luther,0.0418189223593
5871,hubert_howe_bancroft,0.0417866194036
3376,emanuel_swedenborg,0.0417609449749
304,albert_j_beveridge,0.0417587222945
1847,charles_herbert_sylvester,0.0416879817851
448,alfred_edward_woodley_mason,0.0415291342233
11154,thomas_anstey_guthrie,0.0413431995959
416,alexandre_dumas_pre,0.0412897466011
3462,enoch_arnold_bennett,0.0410634678541
10106,richard_jefferies,0.0409398077932
7815,kirk_munroe,0.0407488647259
10668,sara_ware_bassett,0.0407331775413
1284,bernard_shaw,0.0407194957084
2949,edward_eggleston,0.0406818188054
7101,john_henry_newman,0.0404361780422
7308,john_richard_green,0.0403807690886
10077,richard_dowling,0.0403553515029
4838,gertrude_franklin_horn_atherton,0.0403383603458
9103,mor_jokai,0.0403245994843
8500,margaret_vandercook,0.0403163409916
3643,evelyn_everett_green,0.040280699076
8672,mary_amelia_st_clair_sinclair,0.0402516165374
7689,justin_mccarthy,0.040186941476
10190,robert_browning,0.0400899239446
3474,erasmus_darwin,0.039876823223
7311,john_richard_jefferies,0.0398703428747
9189,mrs_l_t_meade,0.039831292849
2758,e_w_ernest_william_hornung,0.0396883300434
10921,stephen_lucius_gwynn,0.0396801407008
8444,marco_pol,0.0395991561043
9912,r_sabatini,0.0395421764565
7212,john_marshall,0.0395256495926
1134,b_m_bower,0.0394560846343
510,alice_b_emerson,0.0393188514049
8024,lev_n_tolstoy,0.0391944998434
2986,edward_hungerford,0.0391120235814
5888,hugh_miller,0.0388950998494
2784,eden_phillpotts,0.038855644802
9459,onuphrio_muralt,0.0387460024458
6733,jefferson_davis,0.0386985259917
513,alice_brown,0.0386914134143
1899,charles_lyell,0.0385550198641
9982,ray_m_steward,0.0385145670802
5005,gustave_flaubert,0.03850406615
7467,joseph_addison,0.0384509786626
7019,john_fiske,0.0384207699658
3790,fergus_hume,0.0382443484107
